body_name,body_label,assembly,mate_name,good_face_normal,thickness_mm,width_mm,height_mm,area_mm2,wire_count,edge_count,dxf_file
Cabinet3CenterSupportOuterBody,Center top support — outer002,Cabinet 3 — front left,Cabinet3CenterSupportInnerBody,-Y,5.7999999999999545,961.3999999999976,34.1999999999984,25996.88548245734,1,52,profiles/Cabinet3CenterSupportOuterBody.dxf
Cabinet3CenterSupportInnerBody,Center top support — inner002,Cabinet 3 — front left,Cabinet3CenterSupportOuterBody,+Y,5.7999999999999545,961.3999999999976,34.1999999999984,25996.885482453952,1,52,profiles/Cabinet3CenterSupportInnerBody.dxf
Cabinet3DrawerFaceOuterBody,Drawer face — outer002,Cabinet 3 drawer,Cabinet3DrawerFaceInnerBody,-X,5.7999999999999545,715.6000000000003,309.2000000000001,202768.23769252727,3,326,profiles/Cabinet3DrawerFaceOuterBody.dxf
Cabinet3DrawerFaceInnerBody,Drawer face — inner002,Cabinet 3 drawer,Cabinet3DrawerFaceOuterBody,+X,5.800000000000068,715.6000000000003,309.2000000000001,198773.77769252344,15,360,profiles/Cabinet3DrawerFaceInnerBody.dxf
Cabinet3DrawerSideLowOuterBody,Drawer side — lowouter002,Cabinet 3 drawer,Cabinet3DrawerSideLowInnerBody,-Y,5.800000000000864,947.8000000000001,177.8,164031.53681466499,7,70,profiles/Cabinet3DrawerSideLowOuterBody.dxf
Cabinet3DrawerSideLowInnerBody,Drawer side — lowinner002,Cabinet 3 drawer,Cabinet3DrawerSideLowOuterBody,+Y,5.80000000000075,947.8000000000046,177.8,164031.53681467488,7,70,profiles/Cabinet3DrawerSideLowInnerBody.dxf
Cabinet3DrawerSideHighInnerBody,Drawer side — highinner002,Cabinet 3 drawer,Cabinet3DrawerSideHighOuterBody,-Y,5.7999999999999545,947.8000000000046,177.8,164031.53681471935,7,70,profiles/Cabinet3DrawerSideHighInnerBody.dxf
Cabinet3DrawerSideHighOuterBody,Drawer side — highouter002,Cabinet 3 drawer,Cabinet3DrawerSideHighInnerBody,+Y,5.800000000004729,947.8000000000046,177.8,164031.53681460166,7,70,profiles/Cabinet3DrawerSideHighOuterBody.dxf
Cabinet3DrawerBackInnerBody,Drawer back — inner002,Cabinet 3 drawer,Cabinet3DrawerBackOuterBody,-X,5.800000000001319,693.3999999999999,177.8,118862.74318528308,7,74,profiles/Cabinet3DrawerBackInnerBody.dxf
Cabinet3DrawerBackOuterBody,Drawer back — outer002,Cabinet 3 drawer,Cabinet3DrawerBackInnerBody,+X,5.800000000006094,693.3999999999999,177.8,118862.74318522064,7,74,profiles/Cabinet3DrawerBackOuterBody.dxf
Cabinet3DrawerBottomBody,Drawer bottom — single ply002,Cabinet 3 drawer,,+Z,5.799999999999997,947.8000000000012,693.4000000000011,637560.9909649097,1,100,profiles/Cabinet3DrawerBottomBody.dxf
Cabinet3DrawerLowSlideLayer1Body,Drawer slide — low side — layer 003,Cabinet 3 drawer,Cabinet3DrawerLowSlideLayer2Body,-Y,5.7999999999999545,928.4,25.400000000000016,23386.358811332997,3,6,profiles/Cabinet3DrawerLowSlideLayer1Body.dxf
Cabinet3DrawerLowSlideLayer2Body,Drawer slide — low side — layer 004,Cabinet 3 drawer,Cabinet3DrawerLowSlideLayer1Body,+Y,5.7999999999999545,928.4,25.400000000000016,23386.358811333,3,6,profiles/Cabinet3DrawerLowSlideLayer2Body.dxf
Cabinet3DrawerHighSlideLayer1Body,Drawer slide — high side — layer 003,Cabinet 3 drawer,Cabinet3DrawerHighSlideLayer2Body,-Y,5.7999999999999545,928.4,25.400000000000016,23386.358811332997,3,6,profiles/Cabinet3DrawerHighSlideLayer1Body.dxf
Cabinet3DrawerHighSlideLayer2Body,Drawer slide — high side — layer 004,Cabinet 3 drawer,Cabinet3DrawerHighSlideLayer1Body,+Y,5.7999999999999545,928.4,25.400000000000016,23386.358811333004,3,6,profiles/Cabinet3DrawerHighSlideLayer2Body.dxf
Cabinet3DrawerCabinetLowSupportLayer3Body,Cabinet 3 drawer cabinet lowsupport strip — layer 3,Cabinet 3 — front left,Cabinet3DrawerCabinetLowSupportLayer4Body,-Y,5.7999999999999545,914.8,25.400000000000016,23040.918811333002,3,6,profiles/Cabinet3DrawerCabinetLowSupportLayer3Body.dxf
Cabinet3DrawerCabinetLowSupportLayer4Body,Cabinet 3 drawer cabinet lowsupport strip — layer 4,Cabinet 3 — front left,Cabinet3DrawerCabinetLowSupportLayer3Body,+Y,5.7999999999999545,914.8,25.400000000000016,23040.918811332987,3,6,profiles/Cabinet3DrawerCabinetLowSupportLayer4Body.dxf
Cabinet3DrawerCabinetLowAntiTipLayer3Body,Cabinet 3 drawer cabinet lowantitip strip — layer 3,Cabinet 3 — front left,Cabinet3DrawerCabinetLowAntiTipLayer4Body,-Y,5.7999999999999545,914.8,25.400000000000016,23040.91881133301,3,6,profiles/Cabinet3DrawerCabinetLowAntiTipLayer3Body.dxf
